firm,leverage,challenge_pass_rate,challenge_avg_pass_days,challenge_avg_fail_days,challenge_e_first_pass_days,challenge_e_cost,annual_net_ev,annual_net_med,annual_net_p10,annual_net_p90,annual_profit_prob,avg_account_purchases,avg_challenge_retries,avg_funded_episodes_per_year,avg_busts_per_year,avg_payouts_per_year,avg_gross_payout_per_year,avg_fee_refund_per_year,avg_challenge_days_per_year,avg_funded_days_per_year,funded_avg_life_days,funded_bust_rate,funded_survive_to_year_end_rate,funded_got_payout_rate,funded_avg_payout_per_episode,funded_avg_payout_count_per_episode
FTMO 2-Step,1.0,0.982,219.2032586558045,87.0,220.7979633401222,488.79837067209775,2930.835913927367,1653.4692861453689,-480.0,8632.010118864011,0.6216666666666667,1.0001666666666666,0.0,0.986,0.00016666666666666666,2.629,3120.595913927367,290.32,224.226,54.15266666666667,54.92156862745098,0.00016903313049357674,0.9998309668695065,0.61342123056119,3164.904578019642,2.6663286004056794
FTMO 2-Step,1.5,0.9933,151.96949562065842,131.69230769230768,152.8577856252275,483.23769254001814,9038.464819176937,8323.678719841859,-480.0,18878.172130066352,0.8663333333333333,1.0056666666666667,0.0023333333333333335,1.0018333333333334,0.0033333333333333335,5.3105,9109.664819176936,411.52,151.3515,107.878,107.68058559307936,0.0033272334054233904,0.9966727665945766,0.855764431874896,9092.99432957272,5.300781899850275
FTMO 2-Step,2.0,0.9179,111.29382285652032,102.93580246913581,120.50074014894437,522.9327813487307,14879.427780910988,14208.846182986028,787.548378911846,28569.41596886656,0.914,1.1018333333333334,0.07233333333333333,1.0236666666666667,0.03,6.628333333333333,14969.667780910988,438.64,123.45683333333334,133.84183333333334,130.7474763920547,0.029306414848583522,0.9706935851514165,0.8927059589710192,14623.576471095075,6.475089547378704
FTMO 2-Step,2.5,0.8228,82.13782207097715,59.29249011857708,94.90718187774898,583.373845405931,19954.73692728701,18823.258923086272,3297.3731353844205,37727.433296111056,0.9465,1.5875,0.25766666666666665,1.3055,0.33116666666666666,7.059833333333334,20212.17692728701,504.56,124.066,138.502,106.0911528150134,0.2536703689518703,0.7463296310481298,0.805183199285076,15482.32625606052,5.407762032426912
FTMO 2-Step,3.0,0.8336,68.84668905950096,52.51682692307692,79.32989443378119,575.8157389635317,26474.371699156036,25276.391979966407,6061.397189357759,48071.71985400066,0.9691666666666666,1.6743333333333332,0.25166666666666665,1.399,0.42383333333333334,7.793833333333334,26737.651699156035,540.4,110.54866666666666,150.77333333333334,107.77221825113176,0.30295449130331187,0.6970455086966881,0.8047414820109602,19111.97405229166,5.57100309745056
FTMO 2-Step,4.0,0.79,50.05746835443038,42.01190476190476,61.22518987341771,607.5949367088607,37815.31280309724,36212.37617352497,11344.308266752707,66656.16296573573,0.9823333333333333,2.1406666666666667,0.4145,1.6848333333333334,0.7288333333333333,8.202333333333334,38209.31280309724,633.52,104.15316666666666,156.21816666666666,92.72024928281729,0.43258482540310617,0.5674151745968938,0.7833613611633198,22678.393196021705,4.868335146898803
FundedNext Stellar,1.0,0.9887,193.78881359360776,87.0,194.78314959037118,555.6473146556084,3936.9620243756835,3192.817375392659,-549.99,10000.485727011117,0.7131666666666666,1.0001666666666666,0.00016666666666666666,0.99,0.0,3.2841666666666667,4109.466387709016,377.5681349999999,196.31533333333334,73.043,73.78080808080809,0.0,1.0,0.6934343434343434,4150.976149201027,3.3173400673400675
FundedNext Stellar,1.5,0.9952,134.5375803858521,131.69230769230768,135.17275228790504,552.3774115755627,10201.11546232909,9690.006005868752,-549.99,20251.647910179017,0.89,1.0073333333333334,0.0028333333333333335,1.0028333333333332,0.004666666666666667,5.712166666666667,10271.239185662422,483.7437033333332,135.88616666666667,121.928,121.58351337876017,0.00465348180156224,0.9953465181984378,0.8771813195944823,10242.219563565652,5.69602792089081
FundedNext Stellar,2.0,0.9404,99.5500850701829,95.30560271646858,105.59029553583744,581.3611229264143,16469.09814753203,16140.135735225273,2646.3493905724617,29917.316762432834,0.9416666666666667,1.0956666666666666,0.06133333333333333,1.0311666666666666,0.034666666666666665,7.020833333333333,16554.979064198695,513.3514599999999,108.642,147.28016666666667,142.82867302408275,0.03361887829319541,0.9663811217068046,0.9090027476967836,16054.610374202714,6.808631000484888
FundedNext Stellar,2.5,0.8393,72.80436077683784,55.24766645924082,83.38258072203026,644.7652805909686,21521.002680896585,20703.197435152033,4514.50485647558,39505.46807555108,0.9546666666666667,1.5876666666666666,0.23483333333333334,1.3331666666666666,0.3541666666666667,7.234,21806.933230896582,574.3544066666666,112.262,148.539,111.41817727215901,0.2656582072759095,0.7343417927240905,0.7945993249156145,16357.244578744781,5.4261782722840355
