firm,leverage,list_fee,sim_fee,price_note,annual_net,fees_paid_year,fee_refund_year,net_capital_consumed,avg_purchases,challenge_pass,funded_bust_rate,roi_on_fees_pct,per100_invested,per100_unit_capital,roi_on_net_capital_pct,per100_at_list_price,annual_net_at_list
FTMO 2-Step,1.0,583.0,480.0,€540≈$583 list; 模拟用促销≈$480,2930.835913927367,480.0799999999999,290.32,189.75999999999993,1.0001666666666666,0.982,0.0001690331304935,610.4890672236643,610.4890672236643,610.5908154015349,1544.4961603748777,484.96526975533254,2827.8187472607005
FTMO 2-Step,1.5,583.0,480.0,€540≈$583 list; 模拟用促销≈$480,9038.464819176936,482.72000000000116,411.52,71.20000000000118,1.0056666666666667,0.9933,0.0033272334054233,1872.4032190870303,1872.4032190870303,1883.0135039951947,12694.473060641554,1523.9340397286014,8934.881152510268
FTMO 2-Step,2.0,583.0,480.0,€540≈$583 list; 模拟用促销≈$480,14879.427780910988,528.8799999999992,438.64,90.23999999999921,1.1018333333333334,0.9179,0.0293064148485835,2813.38446923896,2813.38446923896,3099.880787689789,16488.727594094766,2298.6698889102927,14765.938947577655
FTMO 2-Step,2.5,583.0,480.0,€540≈$583 list; 模拟用促销≈$480,19954.73692728701,762.0000000000036,504.56,257.44000000000364,1.5875,0.8228,0.2536703689518703,2618.73188022138,2618.73188022138,4157.23685985146,7751.218508113241,2138.4070368889575,19791.22442728701
FTMO 2-Step,3.0,583.0,480.0,€540≈$583 list; 模拟用促销≈$480,26474.371699156036,803.6800000000003,540.4,263.2800000000003,1.6743333333333332,0.8336,0.3029544913033118,3294.143402741891,3294.143402741891,5515.494103990841,10055.595449390765,2694.491995396411,26301.915365822704
FTMO 2-Step,4.0,583.0,480.0,€540≈$583 list; 模拟用促销≈$480,37815.31280309724,1027.5199999999968,633.52,393.9999999999968,2.1406666666666667,0.79,0.4325848254031061,3680.250778875093,3680.250778875093,7878.190167311924,9597.795127689731,3012.3848608234043,37594.82413643057
FundedNext Stellar,1.0,549.99,549.99,Stellar 2-Step $549.99; reset $494.99,3936.962024375683,550.0724983333325,377.5681349999999,172.5043633333326,1.0001666666666666,0.9887,0.0,715.7169348230104,715.7169348230104,715.824292146345,2282.2390972037247,715.7169348230104,3936.962024375683
FundedNext Stellar,1.5,549.99,549.99,Stellar 2-Step $549.99; reset $494.99,10201.11546232909,553.8674266666658,483.7437033333332,70.12372333333258,1.0073333333333334,0.9952,0.0046534818015622,1841.797327516144,1841.797327516144,1854.7819891869108,14547.310064866588,1841.797327516144,10201.11546232909
FundedNext Stellar,2.0,549.99,549.99,Stellar 2-Step $549.99; reset $494.99,16469.09814753203,599.2323766666668,513.3514599999999,85.88091666666696,1.0956666666666666,0.9404,0.0336188782931954,2748.3658742113066,2748.3658742113066,2994.4359256590174,19176.667863774903,2748.3658742113066,16469.09814753203
FundedNext Stellar,2.5,549.99,549.99,Stellar 2-Step $549.99; reset $494.99,21521.002680896585,860.2849566666628,574.3544066666666,285.9305499999962,1.5876666666666666,0.8393,0.2656582072759095,2501.6132752435647,2501.6132752435647,3912.9807234488962,7526.653825866761,2501.6132752435647,21521.002680896585
FundedNext Stellar,3.0,549.99,549.99,Stellar 2-Step $549.99; reset $494.99,27768.64753863898,912.7173449999937,619.2152566666666,293.50208833332704,1.6821666666666666,0.847,0.3198930978387171,3042.4147947620268,3042.4147947620268,5048.936805876285,9461.14138278377,3042.4147947620268,27768.64753863898
FundedNext Stellar,4.0,549.99,549.99,Stellar 2-Step $549.99; reset $494.99,39395.06100132754,1149.3595700000005,708.8543866666665,440.505183333334,2.126333333333333,0.8087,0.4435203094777563,3427.566275132466,3427.566275132466,7162.868597852241,8943.154925720128,3427.566275132466,39395.06100132754
The5ers High Stakes,1.0,545.0,545.0,High Stakes $100K ≈$545,2943.1389171620785,545.0908333333332,328.27166666666665,216.81916666666655,1.0001666666666666,0.982,0.0,539.9355001375145,539.9355001375145,540.0254893875373,1357.4163956117409,539.9355001375145,2943.1389171620785
The5ers High Stakes,1.5,545.0,545.0,High Stakes $100K ≈$545,8936.764036700648,547.815833333334,463.61333333333334,84.20250000000067,1.0051666666666668,0.9933,0.0029955067398901,1631.3446039561295,1631.3446039561295,1639.773217743238,10613.418885069419,1631.3446039561295,8936.764036700648
The5ers High Stakes,2.0,545.0,545.0,High Stakes $100K ≈$545,14952.801086348409,607.9475000000002,495.7683333333333,112.1791666666669,1.1155,0.918,0.0316764132553606,2459.554663247797,2459.554663247797,2743.633226852919,13329.392195236827,2459.554663247797,14952.801086348409
The5ers High Stakes,2.5,545.0,545.0,High Stakes $100K ≈$545,19873.80773049734,865.6416666666701,572.7041666666667,292.9375000000034,1.5883333333333334,0.8233,0.2544295729764181,2295.8469417288443,2295.8469417288443,3646.570225779329,6784.316699124254,2295.8469417288443,19873.80773049734
The5ers High Stakes,3.0,545.0,545.0,High Stakes $100K ≈$545,25962.27877507159,920.868333333332,611.9441666666667,308.9241666666653,1.6896666666666669,0.8343,0.3061904761904762,2819.325829252278,2819.325829252278,4763.720876159925,8404.094459558857,2819.325829252278,25962.27877507159
The5ers High Stakes,4.0,545.0,545.0,High Stakes $100K ≈$545,37676.50709094771,1160.486666666664,721.3983333333333,439.08833333333064,2.1293333333333333,0.7926,0.4337849866482049,3246.6126645959853,3246.6126645959853,6913.120567146369,8580.621308001339,3246.6126645959853,37676.50709094771
Blueberry Prime,1.0,650.0,455.0,"list~$650, 模拟用常促≈$455; P1 reset $390",3132.3684855714223,455.0649999999996,0.0,455.0649999999996,1.0001666666666666,0.9863,0.0,688.3343007199906,688.3343007199906,688.4326341915214,688.3343007199906,451.83401050399334,2937.340628428565
Blueberry Prime,1.5,650.0,455.0,"list~$650, 模拟用常促≈$455; P1 reset $390",9231.27812204176,457.6975000000002,0.0,457.6975000000002,1.0061666666666669,0.9943,0.0044902710793281,2016.8950282756089,2016.8950282756089,2028.8523345146725,2016.8950282756089,1381.8265197929263,9035.122050613189
Blueberry Prime,2.0,650.0,455.0,"list~$650, 模拟用常促≈$455; P1 reset $390",14052.32047965602,684.3633333333364,0.0,684.3633333333364,1.5426666666666666,0.8074,0.2210752111543102,2053.342105751227,2053.342105751227,3088.4220834408834,2053.342105751227,1407.3394740258589,13759.021908227447
Blueberry Prime,2.5,650.0,455.0,"list~$650, 模拟用常促≈$455; P1 reset $390",20224.569060471757,708.9658333333318,0.0,708.9658333333318,1.5935,0.8325,0.2632640201638311,2852.685998333977,2852.685998333977,4444.960233070716,2852.685998333977,1966.880198833784,19920.726560471758
Blueberry Prime,3.0,650.0,455.0,"list~$650, 模拟用常促≈$455; P1 reset $390",26674.360848773493,750.6200000000026,0.0,750.6200000000026,1.6851666666666667,0.8336,0.3105399669889177,3553.643767655192,3553.643767655192,5862.496889840329,3553.643767655192,2457.550637358634,26352.666563059207
Blueberry Prime,4.0,650.0,455.0,"list~$650, 模拟用常促≈$455; P1 reset $390",34328.65245212418,1269.2441666666637,0.0,1269.2441666666637,2.8998333333333335,0.7077,0.552710720962367,2704.6531592325036,2704.6531592325036,7544.758780686634,2704.6531592325036,1863.2572114627526,33784.69066640989
GOAT 2-Step Standard,1.0,398.0,398.0,2-Step Standard list≈$398,2895.486533501291,398.06633333333366,136.315,261.75133333333366,1.0001666666666666,0.982,0.0,727.3879479470227,727.3879479470227,727.5091792716812,1106.1974342701676,727.3879479470227,2895.486533501291
GOAT 2-Step Standard,1.5,398.0,398.0,2-Step Standard list≈$398,8468.400075729907,400.0563333333339,260.55733333333336,139.49900000000054,1.0051666666666668,0.9933,0.0029955067398901,2116.801902664515,2116.801902664515,2127.738712494952,6070.581205406401,2116.801902664515,8468.400075729907
GOAT 2-Step Standard,2.0,398.0,398.0,2-Step Standard list≈$398,13144.99275126922,443.63733333333585,302.41366666666664,141.2236666666692,1.1146666666666667,0.918,0.0288039056143205,2963.0041846348545,2963.0041846348545,3302.7619978063362,9307.924841163767,2963.0041846348545,13144.99275126922
GOAT 2-Step Standard,2.5,398.0,398.0,2-Step Standard list≈$398,15912.984847636675,631.1616666666741,311.16966666666667,319.99200000000747,1.5858333333333334,0.8233,0.2567722243418542,2521.221691373814,2521.221691373814,3998.2373989036873,4972.93208818855,2521.221691373814,15912.984847636675
GOAT 2-Step Standard,3.0,398.0,398.0,2-Step Standard list≈$398,18699.031944162685,672.1556666666656,320.6553333333333,351.5003333333323,1.6888333333333334,0.8343,0.3091598530631591,2781.9496095144696,2781.9496095144696,4698.24923220168,5319.776447105144,2781.9496095144696,18699.031944162685
GOAT 2-Step Standard,4.0,398.0,398.0,2-Step Standard list≈$398,21415.131622479912,855.301999999996,334.85066666666665,520.4513333333293,2.149,0.7926,0.4405765836438517,2503.8093705474803,2503.8093705474803,5380.686337306511,4114.723174080973,2503.8093705474803,21415.131622479912
TTP CFD 2-Phase,1.0,569.0,569.0,2-Phase $100K ≈$569,2415.860042392249,570.4225000000001,260.50716666666665,309.9153333333335,1.0025,0.9816,0.0013508949679162,423.52116937747866,423.52116937747866,424.57997230092246,779.5225929637496,423.52116937747866,2415.860042392249
TTP CFD 2-Phase,1.5,569.0,569.0,2-Phase $100K ≈$569,7603.421460911247,633.1073333333325,428.83633333333336,204.2709999999991,1.1126666666666667,0.9797,0.0889940467104258,1200.9687869004715,1200.9687869004715,1336.277936891256,3722.2226654352694,1200.9687869004715,7603.421460911247
TTP CFD 2-Phase,2.0,569.0,569.0,2-Phase $100K ≈$569,12000.167643090705,860.8969999999972,489.1503333333333,371.7466666666639,1.513,0.8806,0.2823324196361824,1393.9144454087705,1393.9144454087705,2108.9925559034627,3228.0498304645084,1393.9144454087705,12000.167643090705
TTP CFD 2-Phase,2.5,569.0,569.0,2-Phase $100K ≈$569,15413.022700153935,1210.16816666667,530.877,679.29116666667,2.126833333333334,0.7929,0.4510896606627525,1273.626519412431,1273.626519412431,2708.791335703679,2268.98618096077,1273.626519412431,15413.022700153935
TTP CFD 2-Phase,3.0,569.0,569.0,2-Phase $100K ≈$569,19652.97811941425,1379.5405000000028,582.8456666666667,796.6948333333361,2.4245,0.7814,0.5142329994728518,1424.6032008059358,1424.6032008059358,3453.950460353998,2466.8138033714936,1424.6032008059358,19652.97811941425
TTP CFD 2-Phase,4.0,569.0,569.0,2-Phase $100K ≈$569,26652.526006804335,1861.5783333333347,632.0641666666667,1229.5141666666682,3.2716666666666665,0.7107,0.6204078732324309,1431.716599273071,1431.716599273071,4684.099473955068,2167.728256361772,1431.716599273071,26652.526006804335
E8 Pro,1.0,488.0,366.0,"list $488, 模拟用 code E8≈$366; 1-step",4289.40195477256,530.8453333333327,0.0,530.8453333333327,1.4493333333333334,0.9904,0.3118341824918944,808.0323373737043,808.0323373737043,1171.9677472056176,808.0323373737043,581.0242530302781,4112.453510328116
E8 Pro,1.5,488.0,366.0,"list $488, 模拟用 code E8≈$366; 1-step",6720.1891804862535,837.3791666666666,0.0,837.3791666666666,2.2226666666666666,0.8233,0.49275494395334,802.5264358124808,802.5264358124808,1836.117262427938,802.5264358124808,576.8948268593607,6441.062791597365
E8 Pro,2.0,488.0,366.0,"list $488, 模拟用 code E8≈$366; 1-step",9318.72774581592,977.7173333333358,0.0,977.7173333333358,2.5833333333333335,0.7827,0.5594502277163305,953.1106208422779,953.1106208422779,2546.1004769988854,953.1106208422779,689.8329656317086,8992.821968038143
E8 Pro,2.5,488.0,366.0,"list $488, 模拟用 code E8≈$366; 1-step",10562.108838857572,1354.105833333333,0.0,1354.105833333333,3.484166666666667,0.641,0.6370074587508476,780.0061545305782,780.0061545305782,2885.8220871195554,780.0061545305782,560.0046158979336,10110.74022774646
E8 Pro,3.0,488.0,366.0,"list $488, 模拟用 code E8≈$366; 1-step",7479.594654812815,2238.7361666666666,0.0,2238.7361666666666,5.5445,0.4168,0.7314157368497319,334.0989780832213,334.0989780832213,2043.6050969433923,334.0989780832213,225.57423356241603,6733.349265923926
E8 Pro,4.0,488.0,366.0,"list $488, 模拟用 code E8≈$366; 1-step",1163.380249950553,5554.548,0.0,5554.548,13.191,0.2001,0.8484276729559749,20.944643019567984,20.944643019567984,317.86345627064287,20.944643019567984,-9.291517735324009,-688.1357500494466
FN Futures Flex,1.0,129.99,129.99,Flex $100K ≈$129.99; reset $144.99,8153.1378795513165,284.8019800000011,0.0,284.8019800000011,2.1353333333333335,0.7448,0.4113844870725605,2862.7391844506437,2862.7391844506437,6272.126994039015,2862.7391844506437,2862.7391844506437,8153.1378795513165
FN Futures Flex,1.5,129.99,129.99,Flex $100K ≈$129.99; reset $144.99,11612.60314448494,498.3481050000046,0.0,498.3481050000046,3.6895,0.6245,0.622588741484403,2330.219183733995,2330.219183733995,8933.458838745242,2330.219183733995,2330.219183733995,11612.60314448494
FN Futures Flex,2.0,129.99,129.99,Flex $100K ≈$129.99; reset $144.99,14177.129655150964,733.348710000002,0.0,733.348710000002,5.379,0.5489,0.7191808021784762,1933.2044171934147,1933.2044171934147,10906.32329806213,1933.2044171934147,1933.2044171934147,14177.129655150964
FN Futures Flex,2.5,129.99,129.99,Flex $100K ≈$129.99; reset $144.99,15552.100348212354,972.606655000005,0.0,972.606655000005,7.0845,0.4928,0.7698827860118183,1599.0123312709877,1599.0123312709877,11964.074427426996,1599.0123312709877,1599.0123312709877,15552.100348212354
FN Futures Flex,3.0,129.99,129.99,Flex $100K ≈$129.99; reset $144.99,16549.151022639606,1195.5650250000035,0.0,1195.5650250000035,8.664166666666667,0.447,0.8016774419011008,1384.2117054770447,1384.2117054770447,12731.095486298642,1384.2117054770447,1384.2117054770447,16549.151022639606
FN Futures Flex,4.0,129.99,129.99,Flex $100K ≈$129.99; reset $144.99,17686.473586569537,1605.5786200000039,0.0,1605.5786200000039,11.554666666666666,0.3865,0.8336743199211942,1101.563845348756,1101.563845348756,13606.026299384212,1101.563845348756,1101.563845348756,17686.473586569537
